trial_id,task_id,condition,fault_injected,legacy_passed,legacy_score,witness_valid,detected_faults,duration_ms
1,task_normal_01,CONTROL,NORMAL,True,1.0,True,,21.63
2,task_normal_02,CONTROL,NORMAL,True,1.0,True,,21.91
3,task_normal_03,CONTROL,NORMAL,True,1.0,True,,22.57
4,task_normal_04,CONTROL,NORMAL,True,1.0,True,,20.52
5,task_normal_05,CONTROL,NORMAL,True,1.0,True,,19.87
6,task_forge_success_01,FAULT_INJECTED,FORGE_SUCCESS,True,1.0,False,FORGE_SUCCESS|MUTATE_RESULT|STATE_PARITY_FAILURE,11.13
7,task_forge_success_02,FAULT_INJECTED,FORGE_SUCCESS,True,1.0,False,FORGE_SUCCESS|MUTATE_RESULT|STATE_PARITY_FAILURE,12.55
8,task_forge_success_03,FAULT_INJECTED,FORGE_SUCCESS,True,1.0,False,FORGE_SUCCESS|MUTATE_RESULT|STATE_PARITY_FAILURE,12.24
9,task_forge_success_04,FAULT_INJECTED,FORGE_SUCCESS,True,1.0,False,FORGE_SUCCESS|MUTATE_RESULT|STATE_PARITY_FAILURE,13.73
10,task_forge_success_05,FAULT_INJECTED,FORGE_SUCCESS,True,1.0,False,FORGE_SUCCESS|MUTATE_RESULT|STATE_PARITY_FAILURE,12.19
11,task_drop_event_01,FAULT_INJECTED,DROP_EVENT,False,0.0,False,DROP_EVENT|FORGE_SUCCESS,20.79
12,task_drop_event_02,FAULT_INJECTED,DROP_EVENT,False,0.0,False,DROP_EVENT|FORGE_SUCCESS,19.88
13,task_drop_event_03,FAULT_INJECTED,DROP_EVENT,False,0.0,False,DROP_EVENT|FORGE_SUCCESS,21.75
14,task_drop_event_04,FAULT_INJECTED,DROP_EVENT,False,0.0,False,DROP_EVENT|FORGE_SUCCESS,19.11
15,task_drop_event_05,FAULT_INJECTED,DROP_EVENT,False,0.0,False,DROP_EVENT|FORGE_SUCCESS,20.44
16,task_mutate_result_01,FAULT_INJECTED,MUTATE_RESULT,False,0.0,False,MUTATE_RESULT,17.93
17,task_mutate_result_02,FAULT_INJECTED,MUTATE_RESULT,False,0.0,False,MUTATE_RESULT,18.71
18,task_mutate_result_03,FAULT_INJECTED,MUTATE_RESULT,False,0.0,False,MUTATE_RESULT,19.28
19,task_mutate_result_04,FAULT_INJECTED,MUTATE_RESULT,False,0.0,False,MUTATE_RESULT,19.57
20,task_mutate_result_05,FAULT_INJECTED,MUTATE_RESULT,False,0.0,False,MUTATE_RESULT,19.56
